Model Outputs																											
			Cluster Quality								Structural Similarity		Sequential Similarity		Functional Similarity		Structural + Sequential				PLOT DATA - DO NOT EDIT						
B3EP_A	HDBSCAN	Structure LSTM + SeqVec	8,802	435	19,442	45%	48%	833	0.17	1.57					0.51	94%	42%	26%	69%		HDBSCAN-Structure LSTM + SeqVec	0.4527	0.1737	0.5143	0.4157	0.2602	0.6901
B3EP_B	HDBSCAN	Structure LSTM + SeqVec	9,556	457	19,442	49%	52%	358	0.16	1.76					0.44	93%	32%	17%	66%		HDBSCAN-Structure LSTM + SeqVec	0.4915	0.1574	0.4365	0.3166	0.1653	0.6589
B3EP_C	HDBSCAN	Structure LSTM + SeqVec	12,068	428	19,442	62%	64%	630	0.26	1.33					0.50	98%	44%	33%	68%		HDBSCAN-Structure LSTM + SeqVec	0.6207	0.2631	0.5036	0.4386	0.3311	0.6839
B3EP_D	HDBSCAN	Structure LSTM + SeqVec	13,854	436	19,442	71%	74%	222	0.28	1.39					0.50	93%	45%	26%	73%		HDBSCAN-Structure LSTM + SeqVec	0.7126	0.2764	0.5032	0.4451	0.2636	0.7286
																											
																											
C2EPA	OPTICS	SeqVec	9,307	11	19,515	48%	48%	3,845	0.93						0.45	88%	40%	42%	83%		OPTICS-SeqVec	0.4769	0.9282	0.4538	0.3954	0.4238	0.8296
C2EPB	OPTICS	SeqVec	12,780	19	19,515	65%	66%	1,459	1.03						0.44	90%	38%	38%	93%		OPTICS-SeqVec	0.6549	1.0281	0.4399	0.3786	0.3777	0.9282
C2EPC	OPTICS	SeqVec	14,899	31	19,515	76%	77%	519	1.04						0.37	88%	35%	37%	95%		OPTICS-SeqVec	0.7635	1.0431	0.3721	0.3536	0.3714	0.9505
C2EPD	OPTICS	SeqVec	10,845	11	19,515	56%	56%	3,350	0.84						0.49	89%	44%	44%	86%		OPTICS-SeqVec	0.5557	0.8366	0.4881	0.4432	0.4421	0.8628
C2EPE	OPTICS	SeqVec	14,481	19	19,515	74%	74%	1,189	0.89						0.49	90%	43%	43%	93%		OPTICS-SeqVec	0.7420	0.8873	0.4896	0.4270	0.4268	0.9267
C2EPF	OPTICS	SeqVec	16,506	52	19,515	85%	85%	351	0.87						0.41	88%	39%	44%	96%		OPTICS-SeqVec	0.8458	0.8746	0.4065	0.3891	0.4368	0.9606
																											
C1EP	OPTICS	DeepFold	9,870	16	19,325	51%	51%	3,567	0.84						0.46	85%	52%	50%	66%		OPTICS-DeepFold	0.5107	0.8427	0.4558	0.5201	0.4965	0.6571
C1EPA	OPTICS	DeepFold	13,555	17	19,325	70%	70%	1,308	0.93						0.45	84%	52%	49%	70%		OPTICS-DeepFold	0.7014	0.9293	0.4485	0.5194	0.4885	0.6951
C1EPB	OPTICS	DeepFold	15,997	37	19,325	83%	83%	402	0.90						0.40	83%	56%	51%	69%		OPTICS-DeepFold	0.8278	0.8957	0.4024	0.5598	0.5144	0.6870
C1EPC	OPTICS	DeepFold	10,642	15	19,325	55%	55%	3,314	0.79						0.47	85%	54%	51%	68%		OPTICS-DeepFold	0.5507	0.7941	0.4721	0.5435	0.5083	0.6791
C1EPD	OPTICS	DeepFold	14,402	17	19,325	75%	75%	1,152	0.83						0.46	84%	54%	52%	72%		OPTICS-DeepFold	0.7453	0.8332	0.4639	0.5426	0.5173	0.7213
C1EPE	OPTICS	DeepFold	16,593	30	19,325	86%	86%	342	0.80						0.45	82%	58%	55%	70%		OPTICS-DeepFold	0.8586	0.8046	0.4534	0.5789	0.5455	0.6982
																											
C3-EP-B	OPTICS	Structure LSTM + SeqVec	8,721	16	19,442	45%	45%	3,948	1.02						0.46		44%	43%	75%		OPTICS-Structure LSTM + SeqVec	0.4486	1.0226	0.4641	0.4449	0.4320	0.7510
C3-EP-C	OPTICS	Structure LSTM + SeqVec	11,821	27	19,442	61%	61%	1,631	1.14						0.44	90%	40%	39%	83%		OPTICS-Structure LSTM + SeqVec	0.6080	1.1408	0.4376	0.3979	0.3892	0.8250
C3-EP-D	OPTICS	Structure LSTM + SeqVec	13,758	49	19,442	71%	71%	622	1.23						0.37	91%	33%	34%	86%		OPTICS-Structure LSTM + SeqVec	0.7076	1.2309	0.3733	0.3306	0.3361	0.8638
C3-EP-E	OPTICS	Structure LSTM + SeqVec	11,005	10	19,442	57%	57%	3,231	0.87						0.50	91%	48%	45%	82%		OPTICS-Structure LSTM + SeqVec	0.5660	0.8706	0.5043	0.4751	0.4539	0.8237
C3-EP-F	OPTICS	Structure LSTM + SeqVec	14,324	21	19,442	74%	74%	1,165	0.93						0.49	92%	41%	45%	90%		OPTICS-Structure LSTM + SeqVec	0.7368	0.9308	0.4875	0.4090	0.4496	0.8976
C3-EP-G	OPTICS	Structure LSTM + SeqVec	16,584	50	19,442	85%	86%	336	0.93						0.40	89%	34%	45%	93%		OPTICS-Structure LSTM + SeqVec	0.8530	0.9308	0.3981	0.3421	0.4545	0.9332
																											
																											
																											
B6_A	HDBSCAN	(DO NOT USE) CurveNet 100D	14,886	595	19,441	76%	79%	1,246	0.07	1.37					0.42	94%	60%	7%	77%		HDBSCAN-(DO NOT USE) CurveNet 100D	0.7637	0.0675	0.4215	0.6034	0.0722	0.7678
B6_B	HDBSCAN	(DO NOT USE) CurveNet 100D	16,677	716	19,441	86%	89%	361	0.05	1.35					0.35	89%	64%	14%	59%		HDBSCAN-(DO NOT USE) CurveNet 100D	0.8556	0.0513	0.3538	0.6446	0.1379	0.5939
B7_A	HDBSCAN	(DO NOT USE) CurveNet 50D	15,932	787	19,441	82%	86%	145	0.10	1.91					0.26	92%	64%	13%	44%		HDBSCAN-(DO NOT USE) CurveNet 50D	0.8174	0.0979	0.2588	0.6421	0.1308	0.4367
B7_B	HDBSCAN	(DO NOT USE) CurveNet 50D	16,420	741	19,441	84%	88%	494	0.11	1.33					0.35	94%	68%	17%	64%		HDBSCAN-(DO NOT USE) CurveNet 50D	0.8424	0.1123	0.3543	0.6841	0.1659	0.6360
B7_C	HDBSCAN	(DO NOT USE) CurveNet 50D	16,476	787	19,441	85%	89%	38	0.22	1.80					0.26	92%	64%	13%	43%		HDBSCAN-(DO NOT USE) CurveNet 50D	0.8453	0.2167	0.2572	0.6404	0.1316	0.4337
C3-EP-A	OPTICS	(DO NOT USE) CurveNet	13,473	12	19,491	69%	69%	2,422	1.08								26%	21%	58%		OPTICS-(DO NOT USE) CurveNet	0.6912	1.0785		0.2587	0.2133	0.5783
